CC Task Create Date,CC Order ID,CC Task ID,SKU ID,Location ID,CC Task Status,CC Task Create Time,CC Task Finish Time,Source From,CC Task Stage,SKU Diff Order,On Hand Qty,Scanned Qty,Diff Qty,Diff Qty (ABS)
2026-05-03,CCBRFPE12605030001,CCTBRFPE12605030001,26841826770_306642904655,BRFPE1-HS37-01-22-1-001,DONE,2026-05-03 00:00:06,2026-05-03 00:00:52,ManualCreation,1,N,31,31,0,0
2026-05-03,CCBRFPE12605030001,CCTBRFPE12605030001,51956395622_360580007906,BRFPE1-HS37-01-22-1-001,DONE,2026-05-03 00:00:06,2026-05-03 00:00:52,ManualCreation,1,N,3,3,0,0
2026-05-03,CCBRFPE12605030002,CCTBRFPE12605030003,28276609231_195797954528,BRFPE1-HS37-01-22-1-002,DONE,2026-05-03 00:01:00,2026-05-03 00:01:50,ManualCreation,1,N,12,12,0,0
2026-05-03,CCBRFPE12605030002,CCTBRFPE12605030003,41317360644_276431042322,BRFPE1-HS37-01-22-1-002,DONE,2026-05-03 00:01:00,2026-05-03 00:01:50,ManualCreation,1,N,4,4,0,0
2026-05-03,CCBRFPE12605030002,CCTBRFPE12605030003,40214383543_238024297363,BRFPE1-HS37-01-22-1-002,DONE,2026-05-03 00:01:00,2026-05-03 00:01:50,ManualCreation,1,N,2,2,0,0
2026-05-03,CCBRFPE12605030003,CCTBRFPE12605030004,29286579716_300070803918,BRFPE1-HS36-01-30-2-002,DONE,2026-05-03 00:01:10,2026-05-03 00:03:38,ManualCreation,1,N,15,15,0,0
2026-05-03,CCBRFPE12605030004,CCTBRFPE12605030005,29687169778_295256584764,BRFPE1-A2-21-01-4-015,DONE,2026-05-03 00:01:13,2026-05-03 00:42:50,OBPicking,1,N,1,1,0,0
2026-05-03,CCBRFPE12605030005,CCTBRFPE12605030086,40805092777_280430412334,BRFPE1-A2-08-01-2-231,DONE,2026-05-03 00:36:10,2026-05-03 00:37:33,OBPicking,2,Y,3,1,-2,2
2026-05-03,CCBRFPE12605030005,CCTBRFPE12605030006,40805092777_280430412334,BRFPE1-A2-08-01-2-231,DONE,2026-05-03 00:01:18,2026-05-03 00:36:10,OBPicking,1,Y,3,1,-2,2
2026-05-03,CCBRFPE12605030006,CCTBRFPE12605030007,52956237741_350565924353,BRFPE1-HS37-01-22-2-001,DONE,2026-05-03 00:01:56,2026-05-03 00:02:10,ManualCreation,1,N,8,8,0,0
2026-05-03,CCBRFPE12605030007,CCTBRFPE12605030008,53707631461_340679074047,BRFPE1-HS37-01-22-2-002,DONE,2026-05-03 00:02:32,2026-05-03 00:02:43,ManualCreation,1,N,10,10,0,0
2026-05-03,CCBRFPE12605030008,CCTBRFPE12605030009,26081548265_188370107072,BRFPE1-HS37-01-24-2-001,DONE,2026-05-03 00:02:48,2026-05-03 00:03:17,ManualCreation,1,N,9,9,0,0
2026-05-03,CCBRFPE12605030008,CCTBRFPE12605030009,41970811001_261698240331,BRFPE1-HS37-01-24-2-001,DONE,2026-05-03 00:02:48,2026-05-03 00:03:17,ManualCreation,1,N,4,4,0,0
2026-05-03,CCBRFPE12605030009,CCTBRFPE12605030010,42804184037_168956413419,BRFPE1-HS37-01-24-1-001,DONE,2026-05-03 00:03:22,2026-05-03 00:07:14,ManualCreation,1,N,27,27,0,0
2026-05-03,CCBRFPE12605030009,CCTBRFPE12605030010,42722326579_405006034540,BRFPE1-HS37-01-24-1-001,DONE,2026-05-03 00:03:22,2026-05-03 00:07:14,ManualCreation,1,N,24,24,0,0
2026-05-03,CCBRFPE12605030009,CCTBRFPE12605030010,26930838817_167062071980,BRFPE1-HS37-01-24-1-001,DONE,2026-05-03 00:03:22,2026-05-03 00:07:14,ManualCreation,1,N,4,4,0,0
2026-05-03,CCBRFPE12605030009,CCTBRFPE12605030010,26180054083_233962576769,BRFPE1-HS37-01-24-1-001,DONE,2026-05-03 00:03:22,2026-05-03 00:07:14,ManualCreation,1,N,0,0,0,0
2026-05-03,CCBRFPE12605030010,CCTBRFPE12605030016,29631482813_258039702600,BRFPE1-HS37-01-24-1-002,DONE,2026-05-03 00:09:19,2026-05-03 07:07:02,ManualCreation,2,N,1,1,0,0
2026-05-03,CCBRFPE12605030010,CCTBRFPE12605030016,28626618096_109403175664,BRFPE1-HS37-01-24-1-002,DONE,2026-05-03 00:09:19,2026-05-03 07:07:02,ManualCreation,2,N,24,24,0,0
2026-05-03,CCBRFPE12605030010,CCTBRFPE12605030012,26180054083_233962576769,BRFPE1-HS37-01-24-1-002,DONE,2026-05-03 00:07:34,2026-05-03 00:09:19,ManualCreation,1,N,9,9,0,0
2026-05-03,CCBRFPE12605030010,CCTBRFPE12605030012,28626618096_109403175664,BRFPE1-HS37-01-24-1-002,DONE,2026-05-03 00:07:34,2026-05-03 00:09:19,ManualCreation,1,Y,24,0,-24,24
2026-05-03,CCBRFPE12605030011,CCTBRFPE12605030013,40923248626_306891314684,BRFPE1-HS36-01-30-2-001,DONE,2026-05-03 00:07:49,2026-05-03 00:08:10,ManualCreation,1,N,9,9,0,0
2026-05-03,CCBRFPE12605030012,CCTBRFPE12605030014,48504825166_267340625703,BRFPE1-HS36-01-28-1-002,DONE,2026-05-03 00:08:21,2026-05-03 00:09:16,ManualCreation,1,N,1,1,0,0
